cell_name,annotation
159_99-0,AGM
160_100-0,AGM
160_101-0,AGM
160_102-0,AGM
160_104-0,AGM
160_105-0,AGM
160_106-0,AGM
160_108-0,AGM
160_109-0,AGM
160_110-0,AGM
160_111-0,AGM
160_112-0,AGM
160_114-0,AGM
160_115-0,AGM
160_116-0,AGM
160_117-0,AGM
160_118-0,AGM
160_119-0,AGM
160_120-0,AGM
160_121-0,AGM
160_122-0,AGM
160_123-0,AGM
160_124-0,AGM
160_125-0,AGM
160_126-0,AGM
160_127-0,AGM
160_128-0,AGM
160_129-0,AGM
160_130-0,Sclerotome
160_131-0,Sclerotome
160_132-0,Sclerotome
160_133-0,Sclerotome
160_134-0,Sclerotome
160_135-0,Sclerotome
160_136-0,Sclerotome
160_137-0,Sclerotome
160_138-0,Sclerotome
160_139-0,Dermomyotome
160_140-0,Dermomyotome
160_141-0,Dermomyotome
160_142-0,Dermomyotome
160_143-0,Dermomyotome
160_144-0,Mesenchyme
160_145-0,Mesenchyme
160_146-0,Mesenchyme
160_147-0,Mesenchyme
160_148-0,Mesenchyme
160_149-0,Mesenchyme
160_83-0,Connective tissue
160_84-0,Connective tissue
160_85-0,Connective tissue
160_86-0,Connective tissue
160_87-0,Dermomyotome
160_88-0,Connective tissue
160_89-0,Connective tissue
160_90-0,Connective tissue
160_91-0,Connective tissue
160_92-0,Connective tissue
160_93-0,AGM
160_94-0,AGM
160_95-0,AGM
160_96-0,AGM
160_97-0,AGM
160_98-0,AGM
160_99-0,AGM
161_100-0,Connective tissue
161_101-0,Connective tissue
161_102-0,Connective tissue
161_103-0,Connective tissue
161_104-0,Connective tissue
161_105-0,Connective tissue
161_106-0,Connective tissue
161_107-0,Connective tissue
161_108-0,AGM
161_109-0,AGM
161_110-0,AGM
161_111-0,AGM
161_112-0,AGM
161_113-0,AGM
161_114-0,AGM
161_115-0,AGM
161_116-0,AGM
161_117-0,AGM
161_118-0,AGM
161_119-0,AGM
161_120-0,AGM
161_121-0,AGM
161_122-0,AGM
161_123-0,AGM
161_124-0,AGM
161_125-0,AGM
161_126-0,AGM
161_127-0,AGM
161_128-0,AGM
161_129-0,AGM
161_130-0,AGM
161_131-0,Sclerotome
161_132-0,Sclerotome
161_133-0,Sclerotome
161_134-0,Sclerotome
161_135-0,Sclerotome
161_136-0,Sclerotome
161_137-0,Sclerotome
161_138-0,Sclerotome
161_139-0,Dermomyotome
161_140-0,Dermomyotome
161_141-0,Dermomyotome
161_142-0,Dermomyotome
161_143-0,Dermomyotome
161_144-0,Dermomyotome
161_145-0,Mesenchyme
161_146-0,Mesenchyme
161_147-0,Mesenchyme
161_148-0,Mesenchyme
161_149-0,Mesenchyme
161_150-0,Mesenchyme
161_82-0,Mesenchyme
161_83-0,Mesenchyme
161_84-0,Connective tissue
161_85-0,Connective tissue
161_86-0,Connective tissue
161_87-0,Connective tissue
161_88-0,Connective tissue
161_89-0,Connective tissue
161_90-0,Connective tissue
161_91-0,Connective tissue
161_92-0,Connective tissue
161_93-0,Connective tissue
161_94-0,Connective tissue
161_95-0,Connective tissue
161_96-0,Connective tissue
161_97-0,Connective tissue
161_98-0,Connective tissue
161_99-0,Connective tissue
162_100-0,Connective tissue
162_101-0,Connective tissue
162_102-0,Connective tissue
162_103-0,Connective tissue
162_104-0,Connective tissue
162_105-0,Connective tissue
162_106-0,Connective tissue
162_107-0,Connective tissue
162_108-0,Connective tissue
162_109-0,AGM
162_110-0,AGM
162_111-0,AGM
162_112-0,AGM
162_113-0,AGM
162_114-0,AGM
162_115-0,AGM
162_116-0,AGM
162_117-0,AGM
162_118-0,AGM
162_119-0,AGM
162_120-0,AGM
162_121-0,AGM
162_122-0,AGM
162_123-0,AGM
162_124-0,AGM
162_125-0,AGM
162_126-0,AGM
162_127-0,AGM
162_128-0,AGM
162_129-0,AGM
162_130-0,AGM
162_131-0,AGM
162_132-0,Sclerotome
162_133-0,Sclerotome
162_134-0,Sclerotome
162_135-0,Sclerotome
162_136-0,Sclerotome
162_137-0,Sclerotome
162_138-0,Sclerotome
162_139-0,Sclerotome
162_140-0,Dermomyotome
162_141-0,Dermomyotome
162_142-0,Dermomyotome
162_143-0,Dermomyotome
162_144-0,Dermomyotome
162_145-0,Mesenchyme
162_146-0,Mesenchyme
162_147-0,Mesenchyme
162_148-0,Mesenchyme
162_149-0,Mesenchyme
162_150-0,Mesenchyme
162_82-0,Mesenchyme
162_83-0,Mesenchyme
162_84-0,Connective tissue
162_85-0,Connective tissue
162_86-0,Connective tissue
162_87-0,Connective tissue
162_88-0,Connective tissue
162_89-0,Connective tissue
162_90-0,Connective tissue
162_91-0,Connective tissue
162_92-0,Connective tissue
162_93-0,Connective tissue
162_94-0,Connective tissue
162_95-0,Connective tissue
162_96-0,Connective tissue
162_97-0,Connective tissue
162_98-0,Connective tissue
162_99-0,Connective tissue
163_101-0,Connective tissue
163_102-0,Connective tissue
163_104-0,Connective tissue
163_105-0,Connective tissue
163_106-0,Connective tissue
163_107-0,Connective tissue
163_108-0,AGM
163_109-0,AGM
163_110-0,AGM
163_111-0,AGM
163_112-0,AGM
163_113-0,AGM
163_114-0,AGM
163_115-0,AGM
163_116-0,AGM
163_117-0,AGM
163_118-0,AGM
163_119-0,AGM
163_120-0,AGM
163_121-0,AGM
163_122-0,AGM
163_123-0,AGM
163_124-0,AGM
163_125-0,AGM
163_126-0,AGM
163_127-0,AGM
163_128-0,AGM
163_129-0,AGM
163_131-0,AGM
163_132-0,AGM
163_133-0,Sclerotome
163_134-0,Sclerotome
163_135-0,Sclerotome
163_136-0,Sclerotome
163_137-0,Sclerotome
163_138-0,Sclerotome
163_139-0,Sclerotome
163_140-0,Sclerotome
163_141-0,Sclerotome
163_142-0,Dermomyotome
163_143-0,Dermomyotome
163_144-0,Dermomyotome
163_145-0,Dermomyotome
163_146-0,Mesenchyme
163_147-0,Mesenchyme
163_148-0,Mesenchyme
163_149-0,Mesenchyme
163_150-0,Mesenchyme
163_151-0,Mesenchyme
163_83-0,Mesenchyme
163_84-0,Connective tissue
163_85-0,Connective tissue
163_86-0,Connective tissue
163_87-0,Connective tissue
163_88-0,Connective tissue
163_89-0,Connective tissue
163_90-0,Connective tissue
163_91-0,Connective tissue
163_92-0,Connective tissue
163_93-0,Connective tissue
163_94-0,Connective tissue
163_95-0,Connective tissue
163_96-0,Connective tissue
163_97-0,Connective tissue
163_98-0,Connective tissue
163_99-0,Connective tissue
164_100-0,Connective tissue
164_101-0,Connective tissue
164_102-0,Connective tissue
164_103-0,Connective tissue
164_104-0,Connective tissue
164_105-0,Connective tissue
164_106-0,Connective tissue
164_107-0,Connective tissue
164_108-0,AGM
164_109-0,AGM
164_110-0,AGM
164_111-0,AGM
164_112-0,AGM
164_113-0,AGM
164_114-0,AGM
164_115-0,AGM
164_116-0,AGM
164_117-0,AGM
164_118-0,AGM
164_119-0,AGM
164_120-0,AGM
