cell_name,annotation
199_140-0,Neural crest
199_141-0,Neural crest
199_142-0,Brain
199_143-0,Brain
199_144-0,Brain
199_145-0,Brain
199_146-0,Brain
199_147-0,Brain
199_148-0,Brain
199_149-0,Brain
199_150-0,Brain
199_151-0,Brain
199_152-0,Brain
199_153-0,Brain
199_154-0,Brain
199_155-0,Brain
199_156-0,Brain
199_86-0,Neural crest
199_87-0,Neural crest
199_88-0,Neural crest
199_89-0,Neural crest
199_90-0,Neural crest
199_91-0,Neural crest
199_92-0,Neural crest
199_93-0,Neural crest
199_94-0,Neural crest
199_95-0,Neural crest
199_96-0,Neural crest
199_97-0,Neural crest
200_109-0,Neural crest
200_110-0,Neural crest
200_111-0,Neural crest
200_121-0,Neural crest
200_122-0,Neural crest
200_123-0,Neural crest
200_128-0,Neural crest
200_129-0,Neural crest
200_130-0,Neural crest
200_131-0,Neural crest
200_132-0,Neural crest
200_133-0,Neural crest
200_134-0,Brain
200_135-0,Brain
200_136-0,Brain
200_137-0,Brain
200_138-0,Brain
200_139-0,Brain
200_140-0,Brain
200_141-0,Brain
200_142-0,Brain
200_143-0,Brain
200_144-0,Brain
200_145-0,Brain
200_146-0,Brain
200_147-0,Brain
200_148-0,Brain
200_149-0,Brain
200_150-0,Brain
200_151-0,Brain
200_152-0,Brain
200_153-0,Brain
200_154-0,Brain
200_155-0,Brain
200_156-0,Brain
200_85-0,Neural crest
200_86-0,Neural crest
200_87-0,Neural crest
200_88-0,Neural crest
200_89-0,Neural crest
200_90-0,Neural crest
200_91-0,Neural crest
200_92-0,Neural crest
200_93-0,Neural crest
200_94-0,Neural crest
200_95-0,Neural crest
200_96-0,Neural crest
200_97-0,Neural crest
200_98-0,Neural crest
200_99-0,Neural crest
201_100-0,Neural crest
201_109-0,Neural crest
201_110-0,Neural crest
201_111-0,Neural crest
201_120-0,Neural crest
201_121-0,Neural crest
201_122-0,Neural crest
201_123-0,Neural crest
201_127-0,Neural crest
201_128-0,Neural crest
201_129-0,Neural crest
201_130-0,Neural crest
201_133-0,Brain
201_134-0,Brain
201_135-0,Brain
201_136-0,Brain
201_137-0,Brain
201_138-0,Brain
201_139-0,Brain
201_140-0,Brain
201_141-0,Brain
201_142-0,Brain
201_143-0,Brain
201_144-0,Brain
201_145-0,Brain
201_146-0,Brain
201_147-0,Brain
201_148-0,Brain
201_149-0,Brain
201_150-0,Brain
201_151-0,Brain
201_152-0,Brain
201_153-0,Brain
201_154-0,Brain
201_155-0,Brain
201_84-0,Neural crest
201_85-0,Neural crest
201_86-0,Neural crest
201_87-0,Neural crest
201_88-0,Neural crest
201_89-0,Neural crest
201_90-0,Neural crest
201_91-0,Neural crest
201_92-0,Neural crest
201_93-0,Neural crest
201_94-0,Neural crest
201_95-0,Neural crest
201_96-0,Neural crest
201_97-0,Neural crest
201_98-0,Neural crest
201_99-0,Neural crest
202_100-0,Neural crest
202_101-0,Neural crest
202_109-0,Neural crest
202_110-0,Neural crest
202_111-0,Neural crest
202_120-0,Neural crest
202_121-0,Neural crest
202_122-0,Neural crest
202_126-0,Neural crest
202_127-0,Neural crest
202_128-0,Neural crest
202_133-0,Brain
202_134-0,Brain
202_135-0,Brain
202_136-0,Brain
202_137-0,Brain
202_138-0,Brain
202_139-0,Brain
202_140-0,Brain
202_141-0,Brain
202_142-0,Brain
202_143-0,Brain
202_144-0,Brain
202_145-0,Brain
202_146-0,Brain
202_147-0,Brain
202_148-0,Brain
202_149-0,Brain
202_150-0,Brain
202_151-0,Brain
202_152-0,Brain
202_153-0,Brain
202_154-0,Brain
202_155-0,Brain
202_83-0,Neural crest
202_84-0,Neural crest
202_85-0,Neural crest
202_86-0,Neural crest
202_87-0,Neural crest
202_88-0,Neural crest
202_89-0,Neural crest
202_90-0,Neural crest
202_91-0,Neural crest
202_92-0,Neural crest
202_93-0,Neural crest
202_94-0,Neural crest
202_95-0,Neural crest
202_96-0,Neural crest
202_97-0,Neural crest
202_98-0,Neural crest
202_99-0,Neural crest
203_100-0,Neural crest
203_101-0,Neural crest
203_102-0,Neural crest
203_110-0,Neural crest
203_111-0,Neural crest
203_112-0,Neural crest
203_120-0,Neural crest
203_121-0,Neural crest
203_122-0,Neural crest
203_123-0,Neural crest
203_125-0,Neural crest
203_126-0,Neural crest
203_133-0,Brain
203_134-0,Brain
203_135-0,Brain
203_136-0,Brain
203_137-0,Brain
203_138-0,Brain
203_139-0,Brain
203_140-0,Brain
203_141-0,Brain
203_142-0,Brain
203_143-0,Brain
203_144-0,Brain
203_145-0,Brain
203_146-0,Brain
203_147-0,Brain
203_148-0,Brain
203_149-0,Brain
203_150-0,Brain
203_151-0,Brain
203_152-0,Brain
203_153-0,Brain
203_154-0,Brain
203_155-0,Brain
203_82-0,Neural crest
203_83-0,Neural crest
203_84-0,Neural crest
203_85-0,Neural crest
203_86-0,Neural crest
203_87-0,Neural crest
203_88-0,Neural crest
203_89-0,Neural crest
203_90-0,Neural crest
203_91-0,Neural crest
203_92-0,Neural crest
203_93-0,Neural crest
203_94-0,Neural crest
203_95-0,Neural crest
203_96-0,Neural crest
203_97-0,Neural crest
203_98-0,Neural crest
203_99-0,Neural crest
204_100-0,Neural crest
204_101-0,Neural crest
204_102-0,Neural crest
204_103-0,Neural crest
204_111-0,Neural crest
204_112-0,Neural crest
204_113-0,Neural crest
204_119-0,Neural crest
204_120-0,Neural crest
204_121-0,Neural crest
204_123-0,Neural crest
204_124-0,Neural crest
204_134-0,Brain
204_135-0,Brain
204_136-0,Brain
204_137-0,Brain
204_138-0,Brain
204_139-0,Brain
204_140-0,Brain
204_141-0,Brain
204_142-0,Brain
204_143-0,Brain
204_144-0,Brain
204_145-0,Brain
204_146-0,Brain
204_147-0,Brain
204_148-0,Brain
204_149-0,Brain
204_150-0,Brain
204_151-0,Brain
204_152-0,Brain
204_153-0,Brain
204_154-0,Brain
204_81-0,Neural crest
204_82-0,Neural crest
204_83-0,Neural crest
204_84-0,Neural crest
204_85-0,Neural crest
204_86-0,Neural crest
204_87-0,Neural crest
204_88-0,Neural crest
204_89-0,Neural crest
204_90-0,Neural crest
204_91-0,Neural crest
204_92-0,Neural crest
204_93-0,Neural crest
204_94-0,Neural crest
204_95-0,Neural crest
204_96-0,Neural crest
204_97-0,Neural crest
204_98-0,Neural crest
204_99-0,Neural crest
205_100-0,Neural crest
205_101-0,Neural crest
205_102-0,Neural crest
205_103-0,Neural crest
205_104-0,Neural crest
205_111-0,Neural crest
205_112-0,Neural crest
205_113-0,Neural crest
205_114-0,Neural crest
205_115-0,Neural crest
205_118-0,Neural crest
205_119-0,Neural crest
205_120-0,Neural crest
205_123-0,Neural crest
205_133-0,Brain
205_134-0,Brain
205_135-0,Brain
205_136-0,Brain
205_137-0,Brain
205_138-0,Brain
205_139-0,Brain
205_140-0,Brain
205_141-0,Brain
205_142-0,Brain
205_143-0,Brain
205_144-0,Brain
205_145-0,Brain
205_146-0,Brain
205_147-0,Brain
205_148-0,Brain
205_149-0,Brain
205_150-0,Brain
205_151-0,Brain
205_152-0,Brain
205_153-0,Brain
205_154-0,Brain
205_80-0,Neural crest
205_81-0,Neural crest
205_82-0,Neural crest
205_83-0,Neural crest
205_84-0,Neural crest
205_85-0,Neural crest
205_86-0,Neural crest
205_87-0,Neural crest
205_88-0,Neural crest
205_89-0,Neural crest
205_90-0,Neural crest
205_91-0,Neural crest
205_92-0,Neural crest
205_93-0,Neural crest
205_94-0,Neural crest
205_95-0,Neural crest
205_96-0,Neural crest
205_97-0,Neural crest
205_98-0,Neural crest
205_99-0,Neural crest
206_100-0,Neural crest
206_101-0,Neural crest
206_102-0,Neural crest
206_103-0,Neural crest
206_104-0,Neural crest
206_105-0,Neural crest
206_112-0,Neural crest
206_113-0,Neural crest
206_114-0,Neural crest
206_115-0,Neural crest
206_116-0,Neural crest
206_117-0,Neural crest
206_118-0,Neural crest
206_119-0,Neural crest
206_122-0,Neural crest
206_123-0,Neural crest
206_130-0,Brain
206_131-0,Brain
206_133-0,Brain
206_134-0,Brain
206_135-0,Brain
206_136-0,Brain
206_137-0,Brain
206_138-0,Brain
206_139-0,Brain
206_140-0,Brain
206_141-0,Brain
206_142-0,Brain
206_143-0,Brain
